iter	Passed	Remaining
0	154	154140
1	156	78309
2	160	53378
3	162	40585
4	165	32901
5	167	27744
6	170	24118
7	172	21352
8	175	19323
9	177	17584
10	179	16142
11	181	14970
12	184	13984
13	186	13111
14	188	12377
15	190	11722
16	193	11160
17	196	10737
18	201	10391
19	203	9994
20	206	9611
21	208	9265
22	211	8973
23	213	8666
24	215	8409
25	219	8225
26	222	8012
27	225	7813
28	227	7627
29	230	7459
30	232	7278
31	235	7110
32	237	6955
33	239	6804
34	241	6653
35	243	6509
36	245	6400
37	248	6282
38	250	6164
39	252	6050
40	255	5971
41	257	5869
42	259	5781
43	261	5689
44	264	5603
45	266	5517
46	268	5440
47	271	5384
48	274	5319
49	277	5264
50	279	5192
51	281	5124
52	283	5063
53	285	5005
54	287	4943
55	291	4914
56	294	4877
57	297	4826
58	299	4777
59	301	4731
60	305	4696
61	308	4668
62	310	4619
63	312	4571
64	316	4549
65	318	4510
66	321	4479
67	324	4448
68	327	4413
69	329	4378
70	331	4341
71	337	4351
72	340	4326
73	343	4304
74	346	4275
75	349	4254
76	353	4232
77	355	4199
78	357	4164
79	359	4136
80	361	4105
81	364	4079
82	366	4047
83	368	4021
84	370	3992
85	373	3966
86	375	3936
87	376	3906
88	379	3880
89	381	3853
90	384	3839
91	386	3810
92	387	3780
93	389	3753
94	392	3734
95	394	3710
96	396	3687
97	399	3675
98	401	3655
99	403	3634
100	406	3617
101	408	3595
102	410	3573
103	412	3551
104	415	3537
105	417	3517
106	419	3500
107	422	3485
108	423	3465
109	425	3444
110	427	3427
111	431	3418
112	433	3399
113	435	3381
114	437	3363
115	439	3346
116	440	3327
117	442	3308
118	445	3298
119	447	3283
120	449	3267
121	451	3250
122	453	3233
123	455	3217
124	457	3201
125	460	3190
126	462	3177
127	464	3164
128	466	3152
129	469	3139
130	471	3125
131	473	3112
132	477	3111
133	479	3098
134	481	3084
135	483	3072
136	485	3058
137	487	3044
138	489	3032
139	492	3022
140	494	3012
141	496	2999
142	498	2988
143	500	2977
144	503	2966
145	505	2958
146	508	2953
147	510	2940
148	513	2930
149	515	2918
150	516	2906
151	518	2893
152	520	2882
153	523	2874
154	525	2867
155	528	2857
156	530	2847
157	532	2836
158	534	2825
159	535	2813
160	538	2807
161	540	2797
162	542	2787
163	544	2778
164	547	2768
165	549	2758
166	551	2749
167	553	2742
168	555	2732
169	557	2724
170	560	2715
